slot_id,round,region,match_time,potential_points,team_1_id,team_2_id,actual_winner_id,actual_loser_id,team_1,team_2,actual_winner,actual_loser
1,1,East,2026-03-19 14:50:00,10,1.0,16.0,1.0,16.0,Duke,Siena,Duke,Siena
2,1,East,2026-03-19 12:15:00,10,56.0,9.0,9.0,56.0,Ohio State,TCU,TCU,Ohio State
3,1,East,2026-03-20 19:10:00,10,37.0,60.0,37.0,60.0,St. John's,UNI,St. John's,UNI
4,1,East,2026-03-20 21:45:00,10,52.0,61.0,52.0,61.0,Kansas,Cal Baptist,Kansas,Cal Baptist
5,1,East,2026-03-19 13:30:00,10,6.0,59.0,6.0,59.0,Louisville,South Florida,Louisville,South Florida
6,1,East,2026-03-19 16:05:00,10,3.0,14.0,3.0,14.0,Michigan State,North Dakota State,Michigan State,North Dakota State
7,1,East,2026-03-20 19:25:00,10,7.0,10.0,7.0,10.0,UCLA,UCF,UCLA,UCF
8,1,East,2026-03-20 22:00:00,10,2.0,15.0,2.0,15.0,UConn,Furman,UConn,Furman
9,1,West,2026-03-20 13:35:00,10,17.0,32.0,17.0,32.0,Arizona,Long Island University,Arizona,Long Island University
10,1,West,2026-03-20 16:10:00,10,24.0,25.0,25.0,24.0,Villanova,Utah State,Utah State,Villanova
11,1,West,2026-03-19 13:50:00,10,53.0,44.0,44.0,53.0,Wisconsin,High Point,High Point,Wisconsin
12,1,West,2026-03-19 16:25:00,10,36.0,45.0,36.0,45.0,Arkansas,Hawai'i,Arkansas,Hawai'i
13,1,West,2026-03-19 19:25:00,10,54.0,43.0,43.0,54.0,BYU,Texas,Texas,BYU
14,1,West,2026-03-19 22:00:00,10,51.0,62.0,51.0,62.0,Gonzaga,Kennesaw State,Gonzaga,Kennesaw State
15,1,West,2026-03-20 22:10:00,10,55.0,58.0,55.0,58.0,Miami (Fla.),Missouri,Miami (Fla.),Missouri
16,1,West,2026-03-20 19:35:00,10,50.0,63.0,50.0,63.0,Purdue,Queens,Purdue,Queens
